Date,Open,High,Low,Close,Adj Close,Volume,Company
2020-12-31,134.0800018310547,134.74000549316406,131.72000122070312,132.69000244140625,131.51596069335938,99116600,APPLE
2021-01-04,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,128.26499938964844,143301900,APPLE
2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,129.85084533691406,97664900,APPLE
2021-01-06,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,125.47985076904297,155088000,APPLE
2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,129.76162719726562,109578200,APPLE
2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,130.88162231445312,105158200,APPLE
2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,127.83879852294922,100384500,APPLE
2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,127.660400390625,91951100,APPLE
2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,129.73190307617188,88636800,APPLE
2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,127.76942443847656,90221800,APPLE
2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844,126.01506805419922,111598500,APPLE
2021-01-19,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,126.69896697998047,90757300,APPLE
2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,130.86181640625,104319500,APPLE
2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,135.6589813232422,120150900,APPLE
2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,137.8395233154297,114459400,APPLE
2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,141.6554412841797,157611700,APPLE
2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,141.8933563232422,98390600,APPLE
2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,140.80308532714844,140843800,APPLE
2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,135.87704467773438,142621100,APPLE
2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,130.7924346923828,177523800,APPLE
2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844,132.953125,106239800,APPLE
2021-02-02,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,133.79562377929688,83305400,APPLE
2021-02-03,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,132.7549285888672,89880900,APPLE
2021-02-04,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,136.17437744140625,84183100,APPLE
2021-02-05,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,135.75250244140625,75693800,APPLE
2021-02-08,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,135.9014129638672,71297200,APPLE
2021-02-09,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,135.00802612304688,76774200,APPLE
2021-02-10,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,134.39260864257812,73046600,APPLE
2021-02-11,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,134.13450622558594,64280000,APPLE
2021-02-12,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,134.3727264404297,60145100,APPLE
2021-02-16,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,132.2088165283203,80576300,APPLE
2021-02-17,131.25,132.22000122070312,129.47000122070312,130.83999633789062,129.87611389160156,97918500,APPLE
2021-02-18,129.1999969482422,130.0,127.41000366210938,129.7100067138672,128.75445556640625,96856700,APPLE
2021-02-19,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,128.91326904296875,87668800,APPLE
2021-02-22,128.00999450683594,129.72000122070312,125.5999984741211,126.0,125.07178497314453,103916400,APPLE
2021-02-23,123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156,124.93282318115234,158273000,APPLE
2021-02-24,124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211,124.42655944824219,111039900,APPLE
2021-02-25,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376953,120.09867858886719,148199500,APPLE
2021-02-26,122.58999633789062,124.8499984741211,121.19999694824219,121.26000213623047,120.36669921875,164560400,APPLE
2021-03-01,123.75,127.93000030517578,122.79000091552734,127.79000091552734,126.84859466552734,116307900,APPLE
2021-03-02,128.41000366210938,128.72000122070312,125.01000213623047,125.12000274658203,124.19827270507812,102260900,APPLE
2021-03-03,124.80999755859375,125.70999908447266,121.83999633789062,122.05999755859375,121.16079711914062,112966300,APPLE
2021-03-04,121.75,123.5999984741211,118.62000274658203,120.12999725341797,119.24502563476562,178155000,APPLE
2021-03-05,120.9800033569336,121.94000244140625,117.56999969482422,121.41999816894531,120.5255126953125,153766600,APPLE
2021-03-08,120.93000030517578,121.0,116.20999908447266,116.36000061035156,115.50279998779297,154376600,APPLE
2021-03-09,119.02999877929688,122.05999755859375,118.79000091552734,121.08999633789062,120.19795227050781,129525800,APPLE
2021-03-10,121.69000244140625,122.16999816894531,119.44999694824219,119.9800033569336,119.09613037109375,111943300,APPLE
2021-03-11,122.54000091552734,123.20999908447266,121.26000213623047,121.95999908447266,121.06153106689453,103026500,APPLE
2021-03-12,120.4000015258789,121.16999816894531,119.16000366210938,121.02999877929688,120.13838958740234,88105100,APPLE
2021-03-15,121.41000366210938,124.0,120.41999816894531,123.98999786376953,123.07658386230469,92403800,APPLE
2021-03-16,125.69999694824219,127.22000122070312,124.72000122070312,125.56999969482422,124.64494323730469,115227900,APPLE
2021-03-17,124.05000305175781,125.86000061035156,122.33999633789062,124.76000213623047,123.84091186523438,111932600,APPLE
2021-03-18,122.87999725341797,123.18000030517578,120.31999969482422,120.52999877929688,119.64208221435547,121229700,APPLE
2021-03-19,119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376953,119.10604095458984,185549500,APPLE
