Company,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,MA for 7 days,MA for 14 days,MA for 21 days,Total Traded
APPLE,2020-12-31,134.0800018310547,134.74000549316406,131.72000122070312,132.69000244140625,131.51596069335938,99116600,,,,,13289553909.487915
APPLE,2021-01-04,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,128.26499938964844,143301900,-0.02471913892862654,,,,19133670300.25177
APPLE,2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,129.85084533691406,97664900,0.01236382454147189,,,,12588028901.390076
APPLE,2021-01-06,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,125.47985076904297,155088000,-0.03366165662248877,,,,19807839549.316406
APPLE,2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,129.76162719726562,109578200,0.03412321900273585,,,,14065457818.881226
APPLE,2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,130.88162231445312,105158200,0.008631173493877764,,,,13926099655.79834
APPLE,2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,127.83879852294922,100384500,-0.02324867110978568,129.0848148890904,,,12968673800.079346
APPLE,2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,127.660400390625,91951100,-0.0013954928737240913,128.53402056012834,,,11815716350.0
APPLE,2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,129.73190307617188,88636800,0.016226666054691474,128.7435782296317,,,11412873881.103516
APPLE,2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,127.76942443847656,90221800,-0.015127186074986088,128.44623238699776,,,11801011715.335083
APPLE,2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844,126.01506805419922,111598500,-0.013730643242602203,128.52269199916296,,,14371654693.771362
APPLE,2021-01-19,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,126.69896697998047,90757300,0.005427120235233396,128.08516911097936,,,11596967683.21228
APPLE,2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,130.86181640625,104319500,0.032856222315745365,128.08233969552177,,,13421747252.029419
APPLE,2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,135.6589813232422,120150900,0.03665824798044803,129.1995086669922,129.1421617780413,,16076190786.671448
APPLE,2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,137.8395233154297,114459400,0.01607370165187816,130.65366908482142,129.5938448224749,,15598526892.279053
APPLE,2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,141.6554412841797,157611700,0.027683772237210302,132.3570316859654,130.55030495779855,,22549507073.38257
APPLE,2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,141.8933563232422,98390600,0.0016795333585895023,134.37473624093192,131.41048431396484,,14128890760.528564
APPLE,2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,140.80308532714844,140843800,-0.0076837353371925765,136.4873101370675,132.50500106811523,,20201225202.4292
APPLE,2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,135.87704467773438,142621100,-0.034985317530284776,137.79846409388952,132.94181660243444,,19898496481.34308
APPLE,2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,130.7924346923828,177523800,-0.03742066952818235,137.7885524204799,132.93544605800085,,24113058079.055786
APPLE,2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844,132.953125,106239800,0.016519994544784034,137.4020015171596,133.3007550920759,131.89544169108072,14209573250.0
APPLE,2021-02-02,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,133.79562377929688,83305400,0.006336810656363934,136.82430158342635,133.7389853341239,132.00399707612536,11307041586.080933
APPLE,2021-02-03,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,132.7549285888672,89880900,-0.007778245364335468,135.55279976981026,133.95491572788782,132.2178032284691,12202230490.26947
